Year,0,1,2,3,4,5,6,7,8,9,10,11,12
Words,Alzheimer's Disease,Cancer,Car Accidents,Diabetes,Heart Disease,Homicide,Kidney Disease,Lower Respiratory Disease,Overdose,Pneumonia & Influenza,Stroke,Suicide,Terrorism
1999,0.020255983306188,0.256094737746963,0.04388402203343,0.031109417149272,0.328306936182464,0.007617825228924,0.017120435683751,0.056480336423247,0.005542469296057,0.028985850011302,0.05972549631389,0.013271726083945,0
2000,0.022516579159238,0.257450398826692,0.043873207824236,0.031486772111755,0.321650228355315,0.00753763364647,0.017887681534751,0.055434547532981,0.005796117687041,0.029674832209276,0.059759486332303,0.013321029588961,0
2001,0.024440621027412,0.257533309037338,0.045366189506037,0.032392037509627,0.316445952833396,0.007798015867433,0.01886782177027,0.055829200669335,0.006389271760081,0.028154005140282,0.058074386590426,0.013862786327013,0.001326143776315
2002,0.026464669715383,0.256513889163629,0.047253907254519,0.032930903951043,0.31200445618534,0.007841483524882,0.019384765888423,0.056114127258439,0.007890037602436,0.029528521923964,0.056731843022869,0.014204315558345,4.49574792161574E-07
2003,0.028579844267164,0.256926751341348,0.048474085737281,0.033426847497749,0.307133003444066,0.007886176042329,0.02013789773733,0.056920085698548,0.008763068375533,0.029348194714235,0.054846530330251,0.014151880274246,0
2004,0.030381228808212,0.261356403385712,0.050840026123297,0.03368486792352,0.29909471169036,0.007905613469157,0.020610323492269,0.056183050991092,0.009648855355598,0.027479203147323,0.0529793546735,0.014905293836431,0
2005,0.032495931143973,0.260071836980705,0.052701330082485,0.034093518786632,0.294505297001528,0.00811819606939,0.020938836901733,0.059425267845553,0.010719268450095,0.028593641782726,0.049817502843434,0.014777231834475,0
2006,0.033284057317029,0.2637699047458,0.055085592761986,0.033291869181597,0.28889791593239,0.008415216225518,0.021830944817448,0.057248560204432,0.012651084907156,0.025883004921015,0.04904426432225,0.015256111979862,0
2007,0.03440439081013,0.266025986765982,0.056176812532212,0.032906182667069,0.282607232519138,0.008355852554191,0.022426101459578,0.058971316459361,0.01375862161163,0.02430185805469,0.048536411989722,0.015917424299,0
2008,0.037505744040984,0.263856901721165,0.054597280168158,0.032099748399631,0.279320997483996,0.007998434891011,0.022978893777327,0.064192217222569,0.014156956772964,0.025607730910448,0.047762667600879,0.016364943378543,0
2009,0.036511263990447,0.269079183916428,0.053719894370916,0.031752039700564,0.275674069390951,0.00764858826933,0.023696759124466,0.063477736831257,0.014676970770839,0.024813776517032,0.047241470784242,0.017024232391379,0
2010,0.038297294594786,0.270467132138372,0.054650726508311,0.031681706888596,0.2728490739645,0.007342600568584,0.024363875212485,0.063334975419168,0.015155351410955,0.022978651966788,0.047076490926788,0.017570777110241,0
2011,0.038678009011547,0.26932136648886,0.056707931281376,0.033605998109205,0.269868941568778,0.007287345826663,0.022165183783585,0.065064027139332,0.016513735577223,0.024500229635601,0.0459621686158,0.017952997757355,0
2012,0.037921084679858,0.270988150822877,0.057058680041387,0.033520829687235,0.270121701849059,0.007455269741752,0.022290091287722,0.065058030771407,0.016472958721482,0.022958404101645,0.045299729682429,0.018376788779599,0
2013,0.037849473696431,0.26795759208638,0.057455364438543,0.033746475904879,0.271054152069449,0.007083018170355,0.02279800427044,0.066621807105076,0.017347433583588,0.025441801193258,0.044551170709534,0.018333778356854,1.33953568121194E-06
2014,0.041242154198331,0.267951652754826,0.059140017247978,0.033723499752215,0.268914135758161,0.006889050355982,0.023211580482626,0.06485671657058,0.018531876132009,0.024349541376629,0.044303317502112,0.018851087169304,0
2015,0.047139044854596,0.261021999016808,0.06170187637795,0.033910727403969,0.268117520805415,0.007471999720306,0.023544153869046,0.066103641006335,0.020242830397758,0.024329086906712,0.043023369345316,0.018821764773348,2.13181161777641E-06
2016,0.04890732238697,0.258571092180549,0.067120511521147,0.033723697196937,0.265160141014575,0.008046963296024,0.023598331717875,0.065122145093029,0.024573082964642,0.021709487901753,0.042683489339869,0.01890360283057,0
Average,0.036286746882863,0.278526958183555,0.056812203283015,0.034887478813029,0.30539567459111,0.008158781380488,0.022814804871243,0.064496340602455,0.014048823022182,0.027566930730275,0.052789361819154,0.017168692489969,7.82390999062249E-05
